Rarity,Name,Hero,Series,Type,ATK,HP,RCV,LC,Max Lv.,M.ATK,M.HP,M.RCV,M.LC,Limit,Leader Skill,Skill,Req. Lc,Arte,Ability 1,Ability 1 Description,Ability 2,Ability 2 Description,Ability 3,Ability 3 Description,Ability 4,Ability 4 Description,Skill Type
4,Demon King Hunter,Cress,Phantasia,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost HP of slash/thrust heroes to 1.3x,Boost triangle and square ATK to 1.2x for 2 turns,25,3 hits against one foe (83% x3),Repair 2,RCV +100,Weapon Boost 3,Boost weapon stats by 8%,Inspirit Attackers 3,May boost ATK of all heroes by 8%,,,ATK boost tile 2
4,Cardinal,Mint,Phantasia,Bash,307,558,35,10,70,1191,2350,185,10,4,Boost HP/RCV of bash/spell heroes to 1.4x,Restore 40% of HP,35,1 hit against all foes (200% x1),Forcefulness 2,Boost ATK by 5%,Armor Boost 3,Boost armor stats by 8%,Crisis Healer,Boost RCV by 50% when at 10% or less HP,,,Restore %
3,Albane-style Fighter,Cress,Phantasia,Slash,323,185,41,4,60,1195,743,205,4,4,Boost ATK of heroes on circle/triangle to 1.2x ,Change star into triangle,30,3 hits against one foe (70% x3),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Light Shield,Reduces light damage by 10%,,,,,Tile change 1
3,Witch,Arche,Phantasia,Spell,196,108,174,12,60,726,433,871,12,4,Boost HP/ATK of spell heroes to 1.2x,Boost ATK of spell to 1.4x for 1 turn,40,1 wind-type hit against one foe (200% x1),Strength 2,ATK +100,Wind Shield,Reduces wind damage by 10%,,,,,ATK boost type 1
3,Sparrow Ninja,Suzu,Phantasia,Shot,253,200,74,3,60,937,806,372,3,4,Boost ATK of heroes on triangle/square to 1.2x,Change triangle into square,30,3 fire-type hits against one foe (60% x3),Repair 2,RCV +100,Quick Drain 2,May heal 2% of damage dealt,,,,,Tile change 1
3,Cleric,Mint,Phantasia,Spell,176,121,177,12,60,653,485,886,12,4,Boost ATK of heroes on triangle/star to 1.2x,Restore 30% of HP,35,Restore 10% of HP,First Link,Boost ATK by 5% when used to start link,Vitality 3,HP +150,,,,,Restore %
3,Hunter,Chester,Phantasia,Shot,255,192,71,3,60,944,771,352,3,4,Boost ATK of heroes on square/star to 1.2x,Deal a 6x-power wind attack to all foes,45,5 hits against one foe (40% x5),Heal Plus 2,Boost RCV by 5%,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,,,,,Attack all
5,Swordian Master,Stahn,Destiny,Thrust,516,601,231,6,99,2009,2556,1217,6,4,Boost HP/RCV of thrust/spell heroes to 1.5x,Change circle & square into triangle,35,7 fire-type hits against one foe (43% x7),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Overlink 3,Increases LC maximum by 3,Repair 4,RCV +200,Weapon Boost 5,Boost weapon stats by 12%,Tile change 2
4,Winsome Killer,Leon,Destiny,Thrust,319,340,147,6,80,1236,1428,767,6,6,Boost ATK of thrust heroes to 1.6x,Change circle & star into square,45,6 dark-type hits against one foe (42% x6),Forcefulness 2,Boost ATK by 5%,Earth Shield,Reduces earth damage by 10%,Dark Shield 2,Reduces dark damage by 20%,,,Tile change 2
4,Bomb Alchemist,Philia,Destiny,Spell,292,201,248,12,70,1133,847,1297,12,4,Boost ATK of heroes on circle/star to 1.4x,Deal a 7x-power earth attack to all foes,45,5 hits against one foe (58% x5),Strength 2,ATK +100,Armor Boost 3,Boost armor stats by 8%,Fire Shield 2,Reduces fire damage by 20%,,,Attack all
4,Artemis Eyes,Chelsea,Destiny,Shot,561,490,219,3,70,1609,1649,601,3,4,Boost HP/ATK of shot heroes to 1.4x,Boost ATK of shot/spell to 1.4x for 1 turn,45,6 dark-type hits against one foe (42% x6),Link Boost,Increases starting value of link gauge by 1,Arte Plus,Increases arte trigger rate by 1%,Arte Plus 2,Increases arte trigger rate by 2%,,,ATK boost type 2
3,Peerless Warrior,Leon,Destiny,Thrust,212,226,98,6,40,784,906,486,6,4,Boost ATK of heroes on circle/square to 1.2x,Deal a 6x-power earth attack to one foe,35,6 dark-type hits agaiinst one foe (35% x6),Arte Plus,Increases arte trigger rate by 1%,Double Boost 2,Boost weapon and armor stats by 5%,,,,,Attack one
3,Shortbow Maiden,Chelsea,Destiny,Shot,245,224,68,3,60,908,901,338,3,4,Boost HP/ATK of shot heroes to 1.2x,Boost ATK of shot/spell to 1.2x for 1 turn,40,3 wind-type hits against one foe (80% x3),Inspirit Attackers,May boost ATK of all heroes by 3%,Double Boost 2,Boost weapon and armor stats by 5%,,,,,ATK boost type 2
3,Priestess,Philia,Destiny,Spell,161,144,175,12,60,595,581,876,12,4,Boost ATK of heroes on circle/star to 1.2x,Deal a 6x-power earth attack to one foe,35,1 light-type hit against one foe (240% x1),Pinch Healer,Boost RCV by 20% when at 30% or less HP,Earth Shield,Reduces earth damage by 10%,,,,,Attack one
3,Burning Flame,Lilith,Destiny,Bash,221,362,25,8,60,820,1456,127,8,4,Boost HP of thrust/bash heroes to 1.2x,"Restore 3,000 HP",30,3 hits against one foe (67% x3),Repair 2,RCV +100,Forcefulness 3,Boost ATK by 8%,,,,,Restore #
3,White-Hot Swordsman,Stahn,Destiny,Thrust,210,246,99,6,60,777,988,491,6,4,Boost HP of thrust/spell heroes to 1.2x,Change square into triangle,30,4 hits against one foe (50% x4),Lucky Healing,May heal 3% of HP,Double Boost 2,Boost weapon and armor stats by 5%,,,,,Tile change 1
3,Lens Hunter,Rutee,Destiny,Thrust,207,248,80,6,60,766,997,401,6,4,Boost ATK of thrust/spell heroes to 1.2x,"Restore 3,000 HP",30,4 water-type hits against one foe (50% x4),Quick Drain,May heal 1% of damage dealt,Heal Plus 3,Boost RCV by 8%,,,,,Restore #
5,Aurora User,Reid,Eternia,Thrust,526,584,241,6,99,2049,2485,1270,6,4,"Reduce HP of all heroes to 0.9x, boost ATK to 1.6x",Change circle and triangle into star,35,Damage and delay 1 foe by 1 turn (60% x5),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 4,ATK +200,Weapon Boost 3,Boost weapon stats by 8%,Forcefulness 5,Boost ATK by 13%,Tile change 2
4,Kung Fu Master,Farah,Eternia,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost HP/RCV of thrust/spell heroes to 1.4x,Change circle into heart,25,5 hits against one foe (50% x5),Strength 2,ATK +100,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Pinch Healer,Boost RCV by 20% when at 30% or less HP,,,Tile change 1
4,Viking,Chat,Eternia,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost ATK/RCV of thrust heroes to 1.5x,Change circle & star into triangle,45,6 hits against one foe (42% x6),Repair 2,RCV +100,Inspirit Attackers 2,May boost ATK of all heroes by 5%,First Link 3,Boost ATK by 15% when used to start link,,,Tile change 2
3,Scholar,Keele,Eternia,Spell,178,140,171,12,60,661,563,857,12,4,Boost HP of bash/spell heroes to 1.2x,Boost square & star ATK to 1.2x for 2 turns,25,3 water-type hits against one foe (60% x3),Inspirit Attackers,May boost ATK of all heroes by 3%,Lucky Healing,May heal 3% of HP,,,,,ATK boost tile 2
3,Sword Hunter,Reid,Eternia,Thrust,206,257,96,6,60,762,1033,476,6,4,Boost HP/ATK of thrust/bash heroes to 1.2x,Change triangle into square,30,5 hits against one foe (40% x5),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Inspirit Attackers 2,May boost ATK of all heroes by 5%,,,,,Tile change 1
5,Seeker of Heroes,Reala,Destiny 2,Spell,415,373,459,12,99,1615,1586,2421,12,4,Boost HP/ATK of slash/spell heroes to 1.5x,Change triangle & square into heart,35,1 wind-type hit against one foe (300% x1),Arte Plus 2,Increases arte trigger rate by 2%,Armor Boost 3,Boost armor stats by 8%,Repair 4,RCV +200,Lucky Healing 4,May heal 15% of HP,Tile change 2
4,Avatar,Reala,Destiny 2,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost HP/RCV of spell heroes to 1.4x,Change triangle into heart,25,2 fire-type hits against one foe (100% x2),Quick Drain 3,May heal 3% of damage dealt,Lucky Healing,May heal 3% of HP,Repair 4,RCV +200,,,Tile change 1
4,Wild Lass,Nanaly,Destiny 2,Shot,368,337,102,3,70,1431,"1,421",533,3,4,Boost ATK of heroes on circle/triangle to 1.4x ,Change triangle into star,25,3 water-type hits against all foes (68% x3),Double Boost,Boost weapon and armor stats by 3%,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Life Gain 4,Boost HP by 10%,,,Tle change 1
4,Eraser,Kyle,Destiny 2,Thrust,307,354,142,6,70,1191,"1,489",741,6,4,Boost HP/ATK of slash/thrust heroes to 1.4x,Change triangle & square into circle,45,4 wind-type hits against one foe (63% x4),Inspirit Attackers,May boost ATK of all heroes by 3%,Strength 2,ATK +100,Weapon Boost 4,Boost weapon stats by 10%,,,Tile change 2
5,Gleaming Knight,Zelos,Symphonia,Slash,769,417,124,4,99,2995,1775,655,4,4,Boost ATK of slash/thrust heroes to 1.6x,Change triangle & square into circle,40,4 hits against one foe (75% x4),Forcefulness 2,Boost ATK by 5%,Dark Shield,Reduces dark damage by 10%,Weapon Boost 4,Boost weapon stats by 10%,Strength 5,ATK +250,Tile change 2
5,Chosen of Mana,Colette,Symphonia,Spell,546,267,434,12,99,2128,"1,546",2287,12,4,Boost ATK of thrust/spell heroes to 1.6x ,Change triangle & star into circle,35,5 hits against all foes (70% x5),Armor Boost 2,Boost armor stats by 5%,Lucky Healing 2,May heal 5% of HP,Strength 4,ATK +200,Arte Plus 5,Increases arte trigger rate by 5%,Tile change 2
5,Lord of Twin-Sword,Lloyd,Symphonia,Shot,567,651,256,3,99,2206,"2,769",1351,3,4,Boost ATK of thrust/shot heroes to 1.7x,Change square & star into circle,35,5 hits against one foe (60% x5),Vitality 2,HP +100,Weapon Boost 3,Boost weapon stats by 8%,Forcefulness 4,Boost ATK by 10%,Link Finisher 5,Boost ATK by 15% when finisher of a 4+ link,Tile change 2
4,Blademagic Master,Kratos,Symphonia,Slash,475,234,71,4,70,1843,233,371,4,4,Boost ATK of slash/spell heroes by 1.4x,Change triangle & square into circle,40,Restore 50% of damage dealt as HP (200% x1),Weapon Boost 2,Boost weapon stats by 5%,Arte Plus,Increases arte trigger rate by 1%,Pinch Attacker,Boost ATK by 15% when at 30% or less HP,,,Tile change 2
4,Elemental Summoner,Sheena,Symphonia,Shot,360,311,108,3,70,"1,397",1312,564,3,4,Boost HP/RCV of shot heroes to 1.4x,Deal a 1.2x-power neutral attack to all foes ,15,3 hits against one foe (83% x3),Weapon Boost 2,Boost weapon stats by 5%,Heal Plus 3,Boost RCV by 8%,Arte Plus 3,Increases arte trigger rate by 3%,,,Attack all
4,Archaeology Fanatic,Raine,Symphonia,Spell,265,182,268,12,70,"1,030",765,"1,398",12,4,Boost HP/RCV of spell heroes to 1.5x,Change circle into heart,25,3 hits against one foe (84% x3),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Repair 3,RCV +150,Armor Boost 4,Boost armor stats by 10%,,,Tile change 1
4,Hot-blooded Swordsman,Lloyd,Symphonia,Shot,330,380,149,3,70,"1,282","1,598",780,3,4,Boost ATK of thrust/shot heroes to 1.4x,Change square into circle,25,2 hits against one foe (125% x2),Vitality 2,HP +100,Forcefulness 3,Boost ATK by 8%,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,Tile change 1
3,Twin-Sword Warrior,Lloyd,Symphonia,Slash,307,164,49,4,60,"1,140",668,245,4,4,Boost HP/ATK of slash heroes to 1.2x,Boost ATK of slash/spell to 1.2x for 1 turn,,5 hits against one foe (50% x5),Quick Drain,May heal 1% of damage dealt,Weapon Boost 3,Boost weapon stats by 8%,,,,,ATK boost type 2
3,Reticent Axewoman,Presea,Symphonia,Bash,194,394,28,8,60,719,1586,142,8,4,Boost ATK of heroes on circle/square to 1.2x,Change triangle into heart,,5 earth-type hits against one foe (40% x5),Double Boost,Boost weapon and armor stats by 3%,Light Shield,Reduces light damage by 10%,,,,,Tile change 1
3,Sorcerer ,Genis,Symphonia,Spell,217,146,137,12,60,806,589,685,12,4,Boost ATK of spell heroes to 1.3x,Deal a 6x-power water attack to all foes,45,4 water-type hits against one foe (60% x4),Weapon Boost 2,Boost weapon stats by 5%,Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,,,,,Attack all
3,Summoner,Sheena,Symphonia,Shot,233,204,76,3,60,864,823,382,3,4,Boost ATK/RCV of shot heroes to 1.2x,"Restore 3,000 HP ",30,2 hits against one foe (100% x2),Strength 2,ATK +100,Pinch Healer,Boost RCV by 20% when at 30% or less HP,,,,,Restore #
3,Straightforward Lad,Lloyd,Symphonia,Shot,421,368,164,3,60,"1,208","1,239",489,3,4,Boost ATK of thrust/shot heroes to 1.2x,Change square into circle,30,2 hits against one foe (100% x2),Vitality 2,HP +100,Strength 3,ATK +150,,,,,Tile change 1
4,Panther of Calegia,Eugene,Rebirth,Thrust,298,360,132,6,70,"1,156","1,516",687,6,4,Boost HP of thrust heroes to 1.5x,Change triangle & square into circle,45,2 wind-type hits against one foe (125% x2),Forcefulness 2,Boost ATK by 5%,Earth Shield,Reduces earth damage by 10%,Weapon Boost 4,Boost weapon stats by 10%,,,Tile change 2
4,Flame Fighter,Mao,Rebirth,Bash,485,825,79,2,70,"1,388",2865,217,2,4,Boost ATK of bash heroes to 1.5x,Boost star ATK to 1.6 for 1 turn,25,4 hits against one foe (63% x4),Inspirit Attackers,May boost ATK of all heroes by 3%,Vitality 3,HP +150,Pinch Healer,Boost RCV by 20% when at 30% or less HP,,,ATK boost tile 1
3,Ice Swordsman,Veigue,Rebirth,Thrust,196,243,92,6,60,726,979,460,6,4,Boost ATK of thrust/bash heroes to 1.2x,Boost ATK of thrust/bash to 1.2x for 1 turn,40,2 water-type hits against one foe (100% x1),Link Finisher,Boost ATK by 3% when finisher of a 4+ link,Water Shield,Reduces water damage by 10%,,,,,ATK boost type 2
3,Magic Symbolist,Annie,Rebirth,Spell,185,105,180,12,60,686,425,901,12,4,Boost HP of spell heroes to 1.3x,Restore 30% of HP,,Restore 50% of damage dealt as HP (75% x2),Quick Drain,May heal 1% of damage dealt,Earth Shield,Reduces earth damage by 10%,,,,,Restore %
4,Battle God,Senel,Legendia,Thrust,449,516,292,6,70,"1,287",1736,801,6,4,Boost HP/ATK of thrust/spell heroes to 1.4x,Boost square ATK to 1.6x for 1 turn,25,8 hits against one foe (32% x8),Inspirit Attackers,May boost ATK of all heroes by 3%,Strength 3,ATK +150,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,ATK boost tile 1
3,Fighter,Senel,Legendia,Bash,210,385,19,8,60,777,"1,552",93,8,4,Boost ATK of bash heroes to 1.3x,Boost triangle and square ATK to 1.2x for 2 turns,,6 hits against one foe (50% x6),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Link Boost 2,Increases starting value of link gauge by 2,,,,,ATK boost tile 2
3,Bubble Maiden,Norma,Legendia,Spell,194,142,163,12,60,719,572,813,12,4,Boost RCV of shot/spell heroes to 1.3x,Change circle into heart,30,5 earth-type hits against one foe (50% x5),Lucky Healing,May heal 3% of HP,Light Shield,Reduces light damage by 10%,,,,,Tile change 1
5,Devastating Cutie,Anise,Abyss,Bash,562,902,63,15,99,"2,187",3834,334,15,4,Boost HP of slash/bash heroes to 1.6x,Change circle & triangle into star,35,10 hits against one foe (30% x10),Double Boost,Boost weapon and armor stats by 3%,Repair 3,RCV +150,Quick Drain 3,May heal 3% of damage dealt,Fire Shield 3,Reduces fire damage by 30%,Tile change 2
4,Singer of the Verse,Tear,Abyss,Spell,307,217,256,12,70,"1,191",809,1336,12,4,Boost ATK of heroes on triangle/star to 1.4x,Restore 40% of HP,35,6 water-type hits against one foe (42% x6),Attack & Heal 2,ATK/RCV +150,Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Forcefulness 3,Boost ATK by 8%,Armor Boost 4,Boost armor stats by 10%,Restore %
4,Kimlascan Princess,Natalia,Abyss,Shot,374,269,121,3,70,"1,454","1,216",633,3,4,Boost ATK/RCV of shot heroes to 1.4x,Reduce fire damage by 40% for 3 turns,40,7 water-type hits against one foe (36% x7),Heal Plus 2,Boost RCV by 5%,Water Shield,Reduces water damage by 10%,Life Gain 4,Boost HP by 10%,,,Reduce fire
4,Grown-up Child,Anise,Abyss,Bash,485,852,79,10,70,"1,390",2864,216,10,4,Boost HP/ATK of bash/spell heroes to 1.4x,Boost star ATK to 1.6x for 1 turn,30,4 fire-type hits against one foe (63% x4),Life Gain 2,Boost HP by 5%,Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,Fire Shield 2,Reduces fire damage by 20%,,,ATK boost tile 1
4,Sigmund Tactician,Guy,Abyss,Slash,463,247,74,4,70,1797,"1,038",386,4,4,Boost HP/ATK of slash/thrust heroes to 1.4x,Change square into star,25,4 hits against one foe (63% x4),First Link,Boost ATK by 5% when used to start link,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 4,ATK +200,,,Tile change 1
4,Albert-style Fighter,Luke,Abyss,Slash,457,285,68,4,70,1774,"1,202",355,4,4,Boost HP/ATK of all heroes to 1.2x,Change circle into triangle,25,2 hits against one foe (125% x2),Weapon Boost 2,Boost weapon stats by 5%,Pinch Attacker 2,Boost ATK by 20% when at 30% or less HP,Vitality 4,HP +200,,,Tile change 1
3,Duke's Son,Luke,Abyss,Slash,312,199,47,4,60,1157,797,235,4,4,Boost HP of slash/spell heroes to 1.2x,Boost circle & star ATK to 1.2x for 2 turns,25,2 light-type hits against one foe (100% x2),Crisis Healer,Boost RCV by 50% when at 10% or less HP,Fire Shield,Reduces fire damage by 10%,,,,,ATK boost tile 2
3,Fonist,Tear,Abyss,Spell,202,124,192,12,60,747,"1,920",957,12,4,Boost ATK of heroes on triangle/star to 1.2x,Restore 30% of HP,35,1 hist against one foe (200% x1),Crisis Attacker,Boost ATK by 30% when at 10% or less HP,Vitality 3,HP +150,,,,,Restore %
3,Puppeteer,Anise,Abyss,Bash,226,409,13,8,60,836,1640,67,8,4,Boost HP of slash/bash heroes to 1.2x,Change triangle into star,30,4 hits against one foe (60% x4),Armor Boost 2,Boost armor stats by 5%,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,,,,,Tile change 1
4,High Priestess,Rubia,Tempest,Spell,288,187,264,12,80,1118,786,1372,12,6,Boost ATK of spell heroes to 1.6x,Change circle & square into star,45,3 fire-type hits against one foe (83% x3),Repair 2,RCV +100,Armor Boost 3,Boost armor stats by 8%,Dark Shield 2,Reduces dark damage by 20%,,,Tile change 2
3,Apprentice Priestess,Rubia,Tempest,Spell,192,124,175,12,40,709,498,870,12,4,Boost RCV of spell heroes to 1.3x,Change square into heart,,3 water-type hits against one foe (68% x3),Heal Plus 2,Boost RCV by 5%,Crisis Healer,Boost RCV by 50% when at 10% or less HP,,,,,Tile change 1
4,Multi-Gunner,Illia,Innocence,Thrust,449,516,292,6,70,1284,1736,801,6,4,Boost ATK of thrust heroes to 1.5x,Boost ATK of thrust to 1.6x for 1 turn,25,4 hits against one foe (63% x4),Forcefulness 2,Boost ATK by 5%,First Link 2,Boost ATK by 10% when used to start link,Weapon Boost 4,Boost weapon stats by 10%,,,ATK boost type 1
3,Free Aristocrat,Spada,Innocence,Slash,317,183,31,4,60,1176,737,157,4,4,Boost HP/ATK of slash/bash heroes to 1.2x,Boost ATK of slash/bash to 1.2x for 1 turn,40,4 hits against one foe (63% x4),Arte Plus,Increases arte trigger rate by 1%,Armor Boost 3,Boost armor stats by 8%,,,,,ATK boost type 2
4,Divine Swordsman,Emil,Symphonia DotNW,Slash,673,387,146,4,70,1930,1302,400,4,4,Boost HP/ATK of slash/thrust heroes to 1.4x,Boost triangle ATK to 1.6x for 1 turn,25,2 hits against one foe (125% x2),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Weapon Boost 3,Boost weapon stats by 8%,Strength 4,ATK +200,,,ATK boost tile 1
3,Spinner-Wielder,Marta,Symphonia DotNW,Bash,364,640,59,8,60,1044,2153,176,8,4,Boost ATK of slash/bash heroes to 1.2x,Boost square ATK to 1.4x for 1 turn,,2 hits against one foe (100% x2),Quick Drain,May heal 1% of damage dealt,Inspirit Attackers 2,May boost ATK of all heroes by 5%,,,,,ATK boost tile 1
3,Knight of Ratatosk,Emil,Symphonia DotNW,Slash,505,291,110,4,60,1450,978,326,4,4,Boost HP of slash/bash heroes to 1.2x,Boost circle & square ATK to 1.2x for 2 turns,25,4 hits against one foe (50% x4),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Quick Drain 2,May heal 2% of damage dealt,,,,,ATK boost tile 2
5,Shadowed Judge,Yuri,Vesperia,Thrust,,,,,,1916,2602,1202,,4,Boost HP/ATK of thrust/spell heroes to 1.5x,Boost circle/star ATK to 1.5x for 1 turn,25,Damage and delay all foes by 1 turn (84% x3),Weapon Boost 2,Boost weapon stats by 5%,Strength 3,ATK +150,Link Boost 2,Increases starting value of link gauge by 2,Forcefulness 5,Boost ATK by 13%,ATK boost tile 2
4,Elegant Princess,Estelle,Vesperia,Bash,327,519,49,2,70,1271,2186,255,2,4,Boost ATK of bash/spell heroes to 1.5x,Change star into heart,25,2 hits against one foe (125% x2),Lucky Healing,May heal 3% of HP,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Pinch Healer,Boost RCV by 20% when at 30% or less HP,,,Tile change 1
3,Vigilante,Yuri,Vesperia,Slash,315,155,47,4,60,1169,624,235,4,4,Boost ATK/RCV of slash heroes to 1.2x,Boost circle & triangle ATK to 1.2x for 2 turns,25,1 hit against one foe (250% x1),Arte Plus,Increases arte trigger rate by 1%,Life Gain 3,Boost HP by 8%,,,,,ATK boost tile 2
3,Lancer,Judith,Vesperia,Thrust,208,226,96,6,60,770,910,480,6,4,Boost HP/ATK of thrust heroes to 1.2x,Boost ATK of thrust to 1.4x for 1 turn,40,1 hit against one foe (250% x1),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Arte Plus,Increases arte trigger rate by 1%,,,,,ATK boost type 1
3,Healer,Estelle,Vesperia,Spell,188,118,184,12,60,697,477,920,12,4,Boost RCV of bash/spell heroes to 1.3x,Change circle into star,30,1 light-type hit against one foe (200% x1),Repair 2,RCV +100,First Link 2,Boost ATK by 10% when used to start link,,,,,Tile change 1
3,Genius Researcher ,Rita,Vesperia,Spell,212,103,167,12,60,784,416,837,12,4,Boost ATK of slash/spell heroes to 1.2x,Change circle into star,,4 earth-type hits against one for (50% x4),Link Finisher,Boost ATK by 3% when finisher of a 4+ link,Heal Plus 3,Boost RCV by 8%,,,,,Tile change 1
