Rarity,Name,Hero,Series,Type,ATK,HP,RCV,LC,Max Lv.,M.ATK,M.HP,M.RCV,M.LC,Limit,Leader Skill,Skill,Req. Lc,Arte,Ability 1,Ability 1 Description,Ability 2,Ability 2 Description,Ability 3,Ability 3 Description,Ability 4,Ability 4 Description,Skill Type
5,Songstress Warrior,Kohaku,Hearts,Bash,536,963,41,2,99,2088,4095,214,2,4,Boost ATK of thrust/bash/spell/shot to 1.6x,"Change circle, triangle, & star into square",45,6 hits against one foe (50% x6),First Link 2,Boost ATK by 10% when used to start link,Forcefulness 3,Boost ATK by 8%,Dark Shield 2,Reduces dark damage by 20%,Repair 5,RCV +?,Tile change 1
4,Somatic Bondsman,Kor,Hearts,Thrust,298,321,149,6,70,1156,1353,780,6,4,Boost HP of slash/thrust heroes to 1.4x,Deal a 7x-power neutral attack to all foes,45,2 hits against one foe (144% x2),Life & Attack 2,HP/ATK +150,First Link,Boost ATK by 5% when used to start link,Wind Shield,Reduces wind damage by 10%,Vitality 4,HP +200,Attack all
4,Reaper,Hisui,Hearts,Shot,379,323,116,3,80,1472,1357,605,3,6,Boost ATK of shot heroes to 1.6x,Change circle into heart,30,3 hits against one foe (83% x3),Inspirit Attackers,May boost ATK of all heroes by 3%,Weapon Boost 3,Boost weapon stats by 8%,Water Shield 2,Reduces water damage by 20%,,,Tile change 1
4,Courier Coordinator,Ines,Hearts,Thrust,308,378,147,6,70,1195,1585,767,6,4,Boost ATK of slash/thrust heroes to 1.4x,Change triangle & square into star,45,3 hits against one foe (84% x3),Strength 2,ATK +100,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Vitality 4,HP +200,,,Tile change 2
3,Somatic,Kor,Hearts,Thrust,199,239,465,6,60,737,962,465,6,4,Boost HP of slash/thrust heroes to 1.2x ,Deal a 6x-power neutral attack to all foes,45,3 hits against one foe (72% x3),Link Boost,Increases starting value of link gauge by 1,Wind Shield,Reduces wind damage by 10%,,,,,Attack all
3,Stout-Hearted ,Kohaku,Hearts,Bash,317,183,31,4,60,317,183,31,4,4,Boost HP/RCV of bash/spell heroes to 1.2x,"Restore 3,000 HP",30,3 fire-type hits against one foe (80% x3),Life Gain 2,Boost HP by 5%,Arte Plus,Increases arte trigger rate by 1%,,,,,Restore #
3,Double Trouble,Hisui,Hearts,Shot,252,214,77,3,40,933,861,384,3,4,Boost ATK of heroes on circle/square to 1.2x,Restore 25% of HP,,6 hits against one foe (34% x6),Strength 2,ATK +100,Life Gain 3,Boost HP by 8%,,,,,Restore %
5,Wild Girl,Sophie,Graces,Bash,673,"1,204",97,15,99,1694,3425,226,15,4,Increases LP rewards by 1.1x,Deal a 6x-power neutral attack to all foes,45,1 fire-type hit against one foe (300% x1),Armor Boost 2,Boost armor stats by 5%,Heal Plus 3,Boost RCV by 8%,Desperation Healer,Boost ATK by 150% when at 2% or less HP,Forcefulness 4,Boost ATK by 10%,Attack all
4,Wielder of the Light,Asbel,Graces,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost ATK of thrust/shot heroes to 1.4x,Boost triangle & star ATK to 1.4x for 2 turns,30,5 fire-type hits against one foe (50% x5),Vitality 2,HP +100,Water Shield,Reduces water damage by 10%,Pinch Attacker 2,Boost ATK by 20% when at 30% or less HP,,,
4,Radiant Healer,Cheria,Graces,Shot,391,347,113,3,70,1519,1457,589,3,4,Boost ATK of thrust/shot heroes to 1.4x,Change circle into triangle,25,5 hits against one foe (50% x5),Attack & Heal 2,ATK/RCV +150,Quick Drain 3,May heal 3% of damage dealt,Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,
4,The Awakened,Sophie,Graces,Bash,485,852,79,10,70,1390,2864,216,10,4,Boost ATK/RCV of bash heroes to 1.3x,Delay an enemy's attack by 2 turns,40,1 hit against one foe (250% x1),Repair 2,RCV +100,Lucky Healing 2,May heal 5% of HP,Inspirit Attackers 3,May boost ATK of all heroes by 8%,,,
4,Dualblade Officer,Hubert,Graces,Slash,473,273,47,4,70,1802,1108,236,4,4,Boost ATK of slash/shot heroes to 1.4x,Boost square ATK to 1.6x for 1 turn,30,3 water-type hits against one foe (83% x3),Vitality 2,HP +100,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 4,ATK +200,,,
3,Sword Initiate,Asbel,Graces,Thrust,200,217,98,6,60,741,875,490,6,4,Boost ATK/RCV of thrust heroes to 1.2x,Boost circle & triangle to 1.2x for 2 turns,25,2 water-type hits against one foe (110% x2),Link Finisher,Boost ATK by 3% when finisher of a 4+ link,Repair 3,RCV +150,,,,,
3,Fist Initiate,Sophie,Graces,Bash,223,351,122,8,60,828,1413,122,8,4,Boost ATK/RCV of bash heroes to 1.2x,Change circle into heart,30,3 hits against one foe (60% x3),Weapon Boost 2,Boost weapon stats by 5%,Forcefulness 3,Boost ATK by 8%,,,,,
3,Healer,Cheria,Graces,Shot,257,217,66,3,60,951,875,328,3,4,Boost ATK of thrust/shot heroes to 1.2x,Change circle into triangle,30,2 hits against one foe (80% x2),Overlink 2,Increase LC maximum by 2,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,,,,,
3,Gun and Glyph User,Pascal,Graces,Shot,262,246,65,3,60,971,988,322,3,4,Boost HP of thrust/shot heroes to 1.2x,Boost square & star ATK to 1.2x for 2 turns,25,6 hits against one foe (34% x6),Life Gain 2,Boost HP by 5%,Wind Shield,Reduces wind damage by 10%,,,,,
5,The Oathsworn Fist,Jude,Xillia,Bash,541,996,20,17,99,2108,4237,107,17,4,Boost HP/ATK/RCV of shot/bash heroes to 1.25x,Boost ATK of shot/bash to 1.8x for 1 turn,40,6 hits against one foe (50% x6),Overlink 2,Increase LC maximum by 2,Lucky Healing 2,May heal 5% of HP,Water Shield 2,Reduces water damage by 20%,Forcefulness 5,Boost ATK by 13%,
4,Lord of Spirits,Milla,Xillia,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost ATK of heroes on triangle/star to 1.2x,Boost square & star ATK to 1.2x for 2 turns,25,5 wind-type hits against one foe (50% x5),Vitality 2,HP +100,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,Heal Plus 4,Boost RCV by 10%,,,
4,Resolute Spirit Lord,Milla,Xillia,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost ATK of all heroes to 1.4x,Boost triangle ATK to 1.6x for 1 turn,30,3 hits against one foe (84% x3),Armor Boost 2,Boost armor stats by 5%,Pinch Healer,Boost RCV by 20% when at 30% or less HP,Repair 4,RCV +200,,,
3,Martial Artist,Jude,Xillia,Bash,215,372,23,8,60,799,1500,113,8,4,Boost HP/ATK of bash heroes to 1.2x,Boost ATK of bash to 1.4x for 1 turn,40,3 hits against one foe (60% x3),Crisis Healer,Boost RCV by 50% when at 10% or less HP,Dark Shield,Reduces dark damage by 10%,,,,,
3,Spirit Swordswoman,Milla,Xillia,Slash,313,166,43,4,60,1162,667,215,4,4,Boost HP of slash/spell heroes to 1.2x,Boost circle & star ATK to 1.2x for 2 turns,25,3 wind-type hits against one foe (80% x3),Forcefulness 2,Boost ATK by 5%,Pinch Healer,Boost RCV by 20% when at 30% or less HP,,,,,
3,Staff Wielder,Leia,Xillia,Bash,213,357,27,8,60,791,1439,137,8,4,Boost ATK of bash/spell heroes to 1.2x,Boost circle & star ATK to 1.2x for 2 turns,25,5 hits against one foe (60% x5),Armor Boost 2,Boost armor stats by 5%,Fire Shield,Reduces fire damage by 10%,,,,,
3,Artes Wand User,Agria,Xillia,Slash,331,183,164,4,60,1225,734,164,4,4,Boost ATK of slash heroes to 1.3x,"Restore 3,000 HP",30,3 fire-type hits against one foe (80% x3),Forcefulness 2,Boost ATK by 5%,Armor Boost 3,Boost armor stats by 8%,,,,,
5,Unleasher of Salvos,Ludger,Xillia 2,Shot,633,573,175,3,99,2463,2438,923,3,4,Boost ATK of thrust/shot/bash heroes to 1.6x,"Change circle, triangle, & star into square",45,3 hits against one foe (100% x3),Weapon Boost 2,Boost weapon stats by 5%,Inspirit Attackers 3,May boost ATK of all heroes by 8%,Repair 4,RCV +200,Crisis Attacker 3,Boost ATK by ?% when at 10% or less HP,
4,Naive Great Spirit,Muzet,Xillia 2,Bash,331,585,47,2,70,1283,2457,242,2,4,Boost HP/RCV of slash/bash heroes to 1.4x,Change triangle into square,25,3 hits against one foe (84% x3),Repair 2,RCV +100,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Repair 4,RCV +200,,,
5,Water Seraph,Mikleo,Zestiria,Bash,557,996,38,2,99,2167,4237,201,2,4,Boost ATK of bash heroes to 2.0x,"Restore 5,000 HP",10,6 hits against all foes (59% x6),Strength 2,ATK +100,First Link 2,Boost ATK by 10% when used to start link,Pinch Attacker 2,Boost ATK by 20% when at 30% or less HP,Forcefulness 5,Boost ATK by 13%,
5,Wind Seraph,Dezel,Zestiria,Shot,638,562,167,3,99,2482,2391,883,3,4,Boost HP/ATK of shot/spell heroes to 1.5x,"Change triangle, square, & heart into star",45,3 hits against one foe (100% x3),Strength 2,ATK +100,Repair 3,RCV +150,Weapon Boost 4,Boost weapon stats by 10%,Pinch Attacker 3,Boost ATK by 25% when at 30% or less HP,
4,Umbrella Magus,Edna,Zestiria,Thrust,315,321,146,6,70,1201,1304,737,6,4,Boost ATK/RCV of shot/spell heroes to 1.3x,Deal a 8x-power earth attack to one foe,20,5 earth-type hits against one foe (50% x5),Earth Shield,Reduces earth damage by 10%,Vitality 3,HP +150,Armor Boost 3,Boost armor stats by 8%,,,
3,Sword Harrier,Sorey,Zestiria,Slash,410,389,240,4,60,1132,1214,659,4,4,Boost ATK of slash/shot heroes to 1.2x,Change triangle into circle,30,4 hits against one foe (50% x4),Vitality 2,HP +100,Strength 3,ATK +150,,,,,
4,Girl & Dog,Mil & Marishiba,Link,Thrust,289,318,145,6,70,1080,1242,702,6,4,Boost HP of all heroes to 1.1x,Change square into heart,30,3 hits against one foe (80% x3),Double Boost,Boost weapon and armor stats by 3%,Heal Plus 3,Boost RCV by 8%,Strength 4,ATK +200,,,
4,Bullet Blizzard,Nikola,Link,Shot,561,490,219,3,70,1609,1649,601,3,4,Boost ATK of shot heroes to 1.5x,Boost ATK of shot to 1.6x for 1 turn,45,5 water-type hits against one foe (50% x5),Armor Boost 2,Boost armor stats by 5%,Quick Drain 2,May heal 2% of damage dealt,Earth Shield 2,Reduces earth damage by 20%,,,
4,Beautiful Blade,Silas,Link,Slash,673,387,146,4,70,1930,1302,400,4,4,Boost ATK of heroes on circle/square to 1.4x,Reduce water damage by 40% for 3 turns,40,5 hits against one foe (50% x5),Lucky Healing,May heal 3% of HP,Forcefulness 3,Boost ATK by 8%,Repair 4,RCV +200,,,
4,Demure Danseuse,Richenal,Link,Bash,321,538,41,10,70,1248,2268,216,10,4,Boost RCV of slash/bash heroes to 1.5x,Reduce dark damage by 40% for 3 turns,40,5 hits against one foe (50% x5),Double Boost,Boost weapon and armor stats by 3%,Light Shield,Reduces light damage by 10%,First Link 3,Boost ATK by 15% when used to start link,,,
4,Battlefield Singer,Lumiela,Link,Shot,591,490,219,3,70,1609,1649,601,3,4,Boost HP/RCV of shot heroes to 1.4x,Delay an enemy's attack by 2 turns,40,3 hits against one foe (83% x3),First Link,Boost ATK by 5% when used to start link,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Double Boost 3,Boost weapon and armor stats by 8%,,,
4,LP Tank,Dark Wings Gitz,Link,Slash,255,161,49,4,70,944,650,245,4,4,N/A,Deal a 5x-power dark attack to one foe,35,2 hits against one foe (80% x2),Overlink 2,Increase LC maximum by 2,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Lucky Healing 2,May heal 5% of HP,,,
4,The Orchid Blade,Rigitte,Link,Slash ,673,387,146,4,70,1930,1302,400,4,4,Boost HP of slash heroes to 1.4x,Change circle into square,25,4 hits against one foe (63% x4),Life Gain 2,Boost HP by 5%,First Link 2,Boost ATK by 10% when used to start link,Crisis Attacker 2,Boost ATK by 40% when at 10% or less HP,,,
4,Trainee Caster ,Lippy,Link,Spell,288,187,264,12,80,1118,786,1372,12,6,Boost ATL of heroes on circle/triangle/star to 1.4x,Change triangle & heart into star,40,3 light-type hits against one foe (84% x3),Weapon Boost 2,Boost weapon stats by 5%,Lucky Healing 2,May heal 5% of HP,Repair 4,RCV +200,Elemental Shield 3,Reduces all elemental damage by 20%,
4,Brave Slasher,Sara,Link,Slash,455,255,78,4,80,1766,1071,404,4,6,Reduces damage by 30% when at 100% HP,Boost star ATK to 1.6 for 2 turns,30,4 hits against one foe (63% x4),Repair 2,RCV +100,Strength 3,ATK +150,First Link 3,Boost ATK by 15% when used to start link,Resist Ailments,Prevents all ailments (50% chance),
4,Bazooka Girl ,Gardina,Link,Shot,561,490,219,3,70,1609,1649,601,3,4,Boost HP/ATK/RCV of thrust/shot heroes to 1.2x,Deal 7 damage to all enemies,7,4 fire-type hits against one for (63% x4),Forcefulness 2,Boost ATK by 5%,Weapon Boost 3,Boost weapon stats by 8%,Weapon Boost 4,Boost weapon stats by 10%,,,
4,The White Owl,Sedira,Link,Slash,673,387,146,4,70,1930,1302,400,4,4,Boost ATK of slash heroes to 1.6x,"Restore 1,000 HP",5,4 hits against one foe (63% x4),Heal Plus 2,Boost RCV by 5%,Arte Plus,Increases arte trigger rate by 1%,Strength 4,ATK +200,,,
3,Apprentice Kunoichi,Hibari,Link,Shot,404,329,164,3,60,1160,1109,489,3,4,Boost RCV of shot/bash heroes to 1.3x,Change square into triangle,,4 hits against one foe (45% x4),Crisis Healer,Boost RCV by 50% when at 10% or less HP,Strength 3,ATK +150,,,,,
3,Bandit,Melissa,Link,Shot,424,349,156,3,60,1218,1174,463,3,4,Boost RCV of shot heroes to 1.4x,Boost ATK of thrust/shot to 1.2x for 1 turn,40,2 hits against one foe (80% x2),Link Boost,Increases starting value of link gauge by 1,Inspirit Attackers 2,May boost ATK of all heroes by 5%,,,,,
3,Florist,Lyra,Link,Thrust,333,376,230,6,60,957,1265,685,6,4,Boost RCV of thrust/shot heroes to 1.3x,Change circle into heart,,1 hit against one foe (150% x1),Heal Plus 2,Boost RCV by 5%,Quick Drain 2,May heal 2% of damage dealt,,,,,
3,Ninja,Inayomi,Link,Shot,427,388,121,3,60,1228,1305,359,3,4,Boost HP of thrust/shot heroes to 1.2x,Boost square & star ATK to 1.2x for 2 turns,,3 fire-type hits against one foe (70% x3),Strength 2,ATK +100,Overlink 3,Increases LC maximum by 3,,,,,
3,Gunmaiden,Nikola,Link,Shot,447,415,168,3,60,1282,1391,498,3,4,Boost ATK of shot heroes to 1.3x,Boost ATK of shot to 1.4x for 1 turn,,1 water-type hit against one foe (150% x1),Crisis Attacker,Boost ATK by 30% when at 10% or less HP,Arte Plus,Increases arte trigger rate by 1%,,,,,
3,LP Tank,Dark Wings Domio,Link,Slash,250,158,48,4,60,891,591,223,4,4,N/A,Deal a 3x-power dark attack to one foe,25,Restore 5% of HP,Lucky Healing,May heal 3% of HP,First Link,Boost ATK by 5% when used to start link,,,,,
3,Journeyman Slasher,Lippy,Link,Slash,302,169,51,4,40,1120,680,256,4,4,Boost ATK of heroes on circle/triangle/square to 1.3x,Change star into triangle,25,3 light-type hits against one foe (67% x3),Heal Plus 2,Boost RCV by 5%,Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,,,,,
3,Journeyman Thruster,Lippy,Link,Thrust,202,226,103,6,40,747,906,512,6,4,Boost ATK of heroes on circle/triangle/square to 1.3x,Change star into triangle,25,3 light-type hits against one foe (67% x3),Life Gain 2,Boost HP by 5%,Weapon Boost 3,Boost weapon stats by 8%,,,,,
3,Journeyman Basher,Lippy,Link,Bash,218,373,28,8,40,806,1495,138,8,4,Boost ATK of heroes on circle/triangle/square to 1.3x,Change star into triangle,25,3 light-type hits against one foe (67% x3),Forcefulness 2,Boost ATK by 5%,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,,,,,
3,Journeyman Caster,Lippy,Link,Spell,192,124,175,12,40,709,498,870,12,4,Boost ATK of heroes on circle/triangle/square to 1.3x,Change star into triangle,25,3 light-type hits against one foe (67% x3),Lucky Healing,May heal 3% of HP,Repair 3,RCV +150,,,,,
2,Soldier,Ryuka,Link,Slash,179,105,54,4,50,641,425,350,4,4,N/A,Deal a 3x-power fire attack to one foe,35,2 hits against one foe (80% x2),Strength,ATK +50,Forcefulness,Boost ATK by 3%,,,,,
2,Apprentice Ninja,Shizuna,Link,Shot,149,133,73,3,50,534,539,477,3,4,N/A,Change square into circle,35,4 hits against one foe (45% x4),Inspirit Attackers,May boost ATK of all heroes by 3%,Heal Plus,Boost RCV by 3%,,,,,
2,Elite Soldier,Silas,Link,Slash,180,124,49,4,50,645,505,318,4,4,N/A,Deal a 3x-power neutral attack to one foe,35,3 hits against one foe (60% x3),Forcefulness,Boost ATK by 3%,Link Boost,Increases starting value of link gauge by 1,,,,,
2,Elite Soldier,Beatrice,Link,Slash,197,119,31,4,50,705,432,204,4,4,N/A,"Restore 2,500 HP",30,3 hits against one foe (60% x3),Heal Plus,Boost RCV by 3%,Pinch Attacker,Boost ATK by 15% when at 30% or less HP,,,,,
2,Heavy Infantry,Terias,Link,Thrust,124,154,88,6,50,445,624,573,6,4,N/A,Deal a 3x-power neutral attack to one foe,35,1 hit against one foe (200% x1),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Armor Boost,Boost armor stats by 3%,,,,,
2,Heavy Infantry,Fiorina,Link,Bash,129,236,24,6,50,462,958,159,6,4,N/A,Deal a 3x-power fire attack to one foe,35,1 hit against one foe (200% x1),First Link,Boost ATK by 5% when used to start link,Link Boost,Increases starting value of link gauge by 1,,,,,
2,Cook,Hodd,Link,Bash,134,226,26,6,50,479,919,172,6,4,N/A,"Restore 2,000 HP",30,2 hits against one foe (80% x2),Strength,ATK +50,Life Gain,Boost HP by 3%,,,,,
2,Sorcerer ,Cadash,Link,Spell,118,77,166,12,50,423,312,1082,12,4,N/A,Deal a 5x-power fire attack to all foes,45,2 fire-type hits against one foe (96% x2),Heal Plus,Boost RCV by 3%,Weapon Boost,Boost weapon stats by 3%,,,,,
2,Rogue Mage,Hoppa,Link,Spell,114,67,175,12,50,406,272,1139,12,4,N/A,Change square into circle,35,3 water-type hits against one foe (60% x3),Link Boost,Increases starting value of link gauge by 1,Armor Boost,Boost armor stats by 3%,,,,,
2,Bandit,Percy,Link,Thrust,122,142,98,6,50,436,578,636,6,4,N/A,Deal a 5x-power fire attack to one foe,35,1 fire-type against one foe (150% x1),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Link Boost,Increases starting value of link gauge by 1,,,,,
1,Soldier,Ayncia,Link,Slash,140,70,35,4,35,429,242,208,4,4,N/A,"Restore 1,000 HP",25,2 hits against one foe (80% x2),Link Boost,Increases starting value of link gauge by 1,Overlink,Increases LC maximum by 1,,,,,
1,Armored Soldier,Rodan,Link,Slash,134,87,23,4,35,410,298,133,4,4,N/A,Deal a 3x-power neutral attack to one foe,35,1 hit against one foe (150% x1),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,Armor Boost,Boost armor stats by 3%,,,,,
1,Armored Soldier,Almeida,Link,Thrust,91,97,67,6,35,278,333,395,6,4,N/A,Deal a 3x-power neutral attack to one foe,35,1 hit against one foe (150% x1),Link Boost,Increases starting value of link gauge by 1,Forcefulness,Boost ATK by 3%,,,,,
1,Muscleman,Danabrawn,Link,Bash,102,188,4,4,35,312,649,21,4,4,N/A,Deal a 3x-power neutral attack to one foe,35,3 hits against one foe (60% x3),Pinch Healer,Boost RCV by 20% when at 30% or less HP,Life Gain,Boost HP by 3%,,,,,
1,Nurse,Saria,Link,Spell,82,61,120,12,35,251,210,707,12,4,N/A,"Restore 1,000 HP",25,1 hit against one foe (150% x1),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Forcefulness,Boost ATK by 3%,,,,,
1,Apprentice Mage,Ida,Link,Spell,87,56,116,12,35,265,193,686,12,4,N/A,Deal a 3x-power fire attack to all foes,45,1 fire-type hit against one foe (120% x1),Link Finisher,Boost ATK by 3% when finisher of a 4+ link,First Link,Boost ATK by 5% when used to start link,,,,,
1,Apprentice Cook,Ellis,Link,Bash,97,169,18,4,35,296,582,104,4,4,N/A,"Restore 1,000 HP",25,2 hits against one foe (80% x2),Pinch Attacker,Boost ATK by 15% when at 30% or less HP,First Link,Boost ATK by 5% when used to start link,,,,,
1,Martial Artist,Falon,Link,Bash,99,173,13,4,35,304,596,463,4,4,N/A,Deal a 3x-power neutral attack to one foe,35,3 hits against one foe (60% x3),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Vitality,HP +50,,,,,
1,Bandit Underling,Bass,Link,Shot,108,92,53,3,35,331,316,312,3,4,N/A,"Restore 2,500 HP",30,1 fire-type hit against one foe (120% x1),Heal Plus,Boost RCV by 3%,Armor Boost,Boost armor stats by 3%,,,,,
1,Diva,Yumina,Link,Spell,90,53,122,12,35,275,182,719,12,4,N/A,Restore 10% of HP,25,3 dark-type hits against one foe (70% x3),Armor Boost,Boost armor stats by 3%,Inspirit Attackers,May boost ATK of all heroes by 3%,,,,,
5,Swordian Master,Rutee,Destiny,Thrust,516,607,243,6,99,2009,2580,1251,6,4,Boost ATK/RCV of thrust/spell heroes to 1.5x,"Boost circle, triangle, & square ATK to 1.6x for 3 turns",25,,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Water Shield,Reduces water damage by 10%,Double Boost 3,Boost weapon and armor stats by 8%,,,
5,Warrior of the Abyss,Leon,Destiny,Slash,896,434,134,4,99,3487,1846,411,4,4,Boost ATK of slash/thrust heroes to 1.8x,Boost ATK of slash/thrust to 1.8x for 1 turn,30,5 dark-type hits against one foe (60% x 5),Strength 2,ATK +100,Weapon Boost 3,Boost weapon stats by 8%,Link Finisher 4,Boost ATK by 10% when finisher of a 4+ link,Desperation Healer 2,Boost ATK by 200% when at 2% or less HP,
5,Enlightened Warrior,Asbel,Graces,Thrust,542,590,251,6,99,2200,2634,1284,6,4,Boost ATK of thrust/shot heroes to 1.6x,Boost triangle & star ATK to 1.7x for 2 turns,30,10 hits against one foe (30% x 10),Weapon Boost 8,Boost weapon stats by 25%,Light Shield 2,Reduces light damage by 20%,Fire Shield 3,Reduces fire damage by 30%,Earth Shield 4,Reduces earth damage by 50%,
4,The Dawn King,Gaius,Xillia 2,Thrust,301,370,138,6,70,1168,1557,1290,6,4,Boost ATK of thrust heroes to 1.6x,Change circle & square into star,45,5 hits against one foe (50% x 5),Forcefulness 2,Boost ATK by 5%,Strength 3,ATK +150,First Link 3,Boost ATK by 15% when used to start link,,,
4,Elf Maiden,Risaora,Link,Spell,310,195,247,12,70,1202,820,1361,12,4,Boost ATK of shot/spell heroes to 1.4x,Change square into star,25,5 wind-type hits against one foe (50% x 5),Armor Boost 2,Boost armor stats by 5%,Quick Drain 2,May heal 2% of damage dealt,Quick Drain 3,May heal 3% of damage dealt,,,
3,Shrine Maiden,Himika,Link,Thrust,347,360,239,6,60,996,1213,1361,6,4,Boost RCV of thrust/spell heroes to 1.3x,Boost triangle & star ATK to 1.2x for 2 turns,25,1 hit against one foe (250% x1),Vitality 2,HP +100,Weapon Boost 3,Boost weapon stats by 8%,,,,,
